Incident Number,Customer Query,IT Support Response,Assigned Team,Resolution,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00117,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Escalated,Critical,4 Hours,2023-12-20,2023-12-22,2
INC00118,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Escalated,Medium,3 Days,2024-01-04,2024-01-11,7
INC00119,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Escalated,Critical,4 Hours,2023-12-26,2023-12-27,1
INC00120,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Resolved,Critical,4 Hours,2024-01-03,2024-01-05,2
INC00121,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Escalated,Medium,3 Days,2024-01-07,2024-01-14,7
INC00122,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Closed,Critical,4 Hours,2024-01-03,2024-01-04,1
INC00123,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Closed,High,24 Hours,2023-12-26,2023-12-29,3
INC00124,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team C,Resolved,Low,1 Week,2023-12-23,2024-01-01,9
INC00125,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Escalated,Medium,3 Days,2024-01-07,2024-01-11,4
INC00126,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Resolved,Low,1 Week,2024-01-08,2024-01-16,8
INC00127,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team C,Resolved,Low,1 Week,2024-01-05,2024-01-14,9
INC00128,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Pending,Medium,3 Days,2023-12-24,2023-12-29,5
INC00129,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Escalated,Medium,3 Days,2023-12-15,2023-12-19,4
INC00130,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Resolved,High,24 Hours,2023-12-14,2023-12-18,4
INC00131,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Escalated,High,24 Hours,2023-12-22,2023-12-26,4
INC00132,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Closed,Medium,3 Days,2023-12-31,2024-01-05,5
INC00133,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team C,Escalated,Medium,3 Days,2023-12-23,2023-12-30,7
INC00134,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Pending,Low,1 Week,2023-12-26,2024-01-03,8
INC00135,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Pending,Low,1 Week,2023-12-31,2024-01-14,14
INC00136,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team D,Escalated,Low,1 Week,2023-12-22,2024-01-04,13
INC00137,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Escalated,Critical,4 Hours,2023-12-29,2023-12-31,2
INC00138,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team D,Resolved,High,24 Hours,2024-01-07,2024-01-10,3
INC00139,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Escalated,Low,1 Week,2023-12-28,2024-01-07,10
INC00140,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Closed,Low,1 Week,2023-12-27,2024-01-03,7
INC00141,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Resolved,Critical,4 Hours,2024-01-03,2024-01-05,2
INC00142,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Closed,Critical,4 Hours,2023-12-17,2023-12-18,1
INC00143,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Resolved,Medium,3 Days,2024-01-02,2024-01-07,5
INC00144,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Escalated,High,24 Hours,2023-12-21,2023-12-25,4
INC00145,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team D,Escalated,High,24 Hours,2023-12-16,2023-12-20,4
INC00146,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Resolved,Critical,4 Hours,2024-01-06,2024-01-08,2
INC00147,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team C,Escalated,High,24 Hours,2024-01-05,2024-01-07,2
INC00148,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Escalated,Critical,4 Hours,2023-12-30,2023-12-31,1
INC00149,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Resolved,Medium,3 Days,2023-12-17,2023-12-21,4
INC00150,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team C,Escalated,Medium,3 Days,2024-01-06,2024-01-13,7
INC00151,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Escalated,Low,1 Week,2023-12-17,2023-12-28,11
INC00152,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Escalated,Medium,3 Days,2024-01-04,2024-01-10,6
INC00153,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team C,Escalated,Low,1 Week,2023-12-14,2023-12-24,10
INC00154,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Pending,Medium,3 Days,2023-12-11,2023-12-15,4
INC00155,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Closed,Medium,3 Days,2023-12-22,2023-12-27,5
INC00156,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Resolved,Medium,3 Days,2023-12-13,2023-12-18,5
INC00157,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team D,Escalated,Medium,3 Days,2023-12-16,2023-12-20,4
INC00158,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Closed,High,24 Hours,2023-12-22,2023-12-25,3
INC00159,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team C,Resolved,Low,1 Week,2023-12-12,2023-12-20,8
INC00160,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Resolved,High,24 Hours,2023-12-29,2024-01-02,4
INC00161,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Pending,Low,1 Week,2023-12-10,2023-12-18,8
INC00162,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Resolved,Critical,4 Hours,2023-12-27,2023-12-29,2
INC00163,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Resolved,High,24 Hours,2023-12-26,2023-12-28,2
INC00164,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Resolved,Low,1 Week,2024-01-09,2024-01-21,12
INC00165,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Closed,Critical,4 Hours,2024-01-03,2024-01-05,2
INC00166,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Resolved,High,24 Hours,2023-12-11,2023-12-14,3
INC00167,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Closed,Medium,3 Days,2023-12-27,2024-01-01,5
INC00168,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Closed,Low,1 Week,2024-01-04,2024-01-18,14
INC00169,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Pending,Low,1 Week,2023-12-17,2023-12-26,9
INC00170,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Closed,Critical,4 Hours,2023-12-15,2023-12-17,2
INC00171,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Closed,High,24 Hours,2023-12-17,2023-12-20,3
INC00172,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Escalated,High,24 Hours,2024-01-03,2024-01-05,2
INC00173,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team B,Resolved,Low,1 Week,2023-12-24,2024-01-01,8
INC00174,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Resolved,High,24 Hours,2023-12-24,2023-12-28,4
INC00175,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Escalated,High,24 Hours,2024-01-06,2024-01-08,2
INC00176,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Pending,High,24 Hours,2023-12-23,2023-12-26,3
INC00177,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team C,Escalated,Low,1 Week,2023-12-31,2024-01-14,14
INC00178,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Pending,Medium,3 Days,2024-01-01,2024-01-06,5
INC00179,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Closed,Low,1 Week,2023-12-20,2023-12-30,10
INC00180,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Escalated,High,24 Hours,2023-12-20,2023-12-22,2
INC00181,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team D,Resolved,Low,1 Week,2023-12-10,2023-12-18,8
INC00182,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Closed,Medium,3 Days,2023-12-16,2023-12-21,5
INC00183,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Closed,Critical,4 Hours,2023-12-26,2023-12-27,1
INC00184,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Resolved,Medium,3 Days,2023-12-11,2023-12-17,6
INC00185,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team C,Closed,Medium,3 Days,2023-12-25,2023-12-31,6
INC00186,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Pending,Medium,3 Days,2023-12-30,2024-01-03,4
INC00187,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team C,Escalated,Medium,3 Days,2023-12-21,2023-12-25,4
INC00188,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Pending,Medium,3 Days,2023-12-24,2023-12-30,6
INC00189,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Escalated,Medium,3 Days,2023-12-16,2023-12-23,7
INC00190,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Resolved,Critical,4 Hours,2023-12-30,2023-12-31,1
INC00191,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team C,Closed,Low,1 Week,2023-12-17,2023-12-31,14
INC00192,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Closed,High,24 Hours,2023-12-12,2023-12-15,3
INC00193,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Resolved,Medium,3 Days,2023-12-25,2023-12-31,6
INC00194,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Closed,High,24 Hours,2023-12-13,2023-12-17,4
INC00195,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Closed,Critical,4 Hours,2023-12-29,2023-12-31,2
INC00196,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Closed,High,24 Hours,2023-12-23,2023-12-26,3
