Incident Number,Incident Title,Incident Description,Assigned Team,Resolution,Product Category,Priority,SLA Time
INC00133,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Escalated,Software,High,24 Hours
INC00134,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Pending,Storage,Medium,4 Hours
INC00135,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Pending,Networking,Critical,3 Days
INC00136,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Hardware,High,24 Hours
INC00137,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Storage,Critical,3 Days
INC00138,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Software,Medium,3 Days
INC00139,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Pending,Software,Medium,24 Hours
INC00140,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Hardware,Medium,1 Week
INC00141,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Software,High,24 Hours
INC00142,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Networking,Low,3 Days
INC00143,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Escalated,Storage,Medium,24 Hours
INC00144,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Hardware,Low,24 Hours
INC00145,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Storage,Critical,4 Hours
INC00146,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Storage,Medium,4 Hours
INC00147,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Storage,Medium,24 Hours
INC00148,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Escalated,Hardware,Medium,1 Week
INC00149,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Networking,Medium,1 Week
INC00150,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Hardware,Low,24 Hours
INC00151,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Software,Critical,4 Hours
INC00152,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Pending,Software,Medium,24 Hours
INC00153,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Hardware,Medium,4 Hours
INC00154,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Software,High,1 Week
INC00155,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Networking,Medium,4 Hours
INC00156,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Networking,Critical,4 Hours
INC00157,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Closed,Storage,Medium,3 Days
INC00158,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Pending,Networking,High,1 Week
INC00159,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Escalated,Networking,Low,24 Hours
INC00160,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,Low,4 Hours
INC00161,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Pending,Storage,Critical,4 Hours
INC00162,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Escalated,Hardware,Critical,24 Hours
INC00163,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Software,Critical,24 Hours
INC00164,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Closed,Software,Low,1 Week
INC00165,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Resolved,Networking,High,24 Hours
INC00166,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Networking,Medium,3 Days
INC00167,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Hardware,Low,24 Hours
INC00168,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Networking,Medium,4 Hours
INC00169,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Escalated,Software,Low,3 Days
INC00170,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Closed,Software,Medium,4 Hours
INC00171,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Storage,Critical,24 Hours
INC00172,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Storage,High,24 Hours
INC00173,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Resolved,Storage,Critical,1 Week
INC00174,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Storage,Critical,1 Week
INC00175,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Closed,Hardware,High,4 Hours
INC00176,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Resolved,Networking,High,24 Hours
INC00177,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Software,High,3 Days
INC00178,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,Medium,4 Hours
INC00179,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Escalated,Storage,Low,1 Week
INC00180,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,High,1 Week
INC00181,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Resolved,Software,Critical,4 Hours
INC00182,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Pending,Software,Low,3 Days
INC00183,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Escalated,Hardware,Low,1 Week
INC00184,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Escalated,Networking,Low,1 Week
INC00185,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Software,Critical,1 Week
INC00186,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Networking,Critical,1 Week
INC00187,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Escalated,Networking,Critical,1 Week
INC00188,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Software,Critical,24 Hours
INC00189,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Hardware,Medium,3 Days
INC00190,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Software,Critical,24 Hours
INC00191,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,High,4 Hours
INC00192,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Storage,Critical,4 Hours
INC00193,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Storage,Low,24 Hours
INC00194,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Storage,Medium,1 Week
INC00195,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Software,Medium,24 Hours
INC00196,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,High,4 Hours
INC00197,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,High,1 Week
INC00198,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Closed,Storage,High,24 Hours
INC00199,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Escalated,Software,Medium,4 Hours
INC00200,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Closed,Hardware,Critical,3 Days
INC00201,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Hardware,Critical,3 Days
INC00202,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Resolved,Hardware,Critical,1 Week
INC00203,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Hardware,High,4 Hours
INC00204,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Networking,Critical,1 Week
INC00205,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Escalated,Networking,Medium,4 Hours
INC00206,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Storage,Medium,3 Days
INC00207,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Hardware,Medium,24 Hours
INC00208,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Networking,High,24 Hours
INC00209,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Resolved,Hardware,Medium,24 Hours
INC00210,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Hardware,Critical,24 Hours
INC00211,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Escalated,Networking,Medium,4 Hours
INC00212,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Escalated,Hardware,Medium,3 Days
INC00213,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Pending,Hardware,Medium,3 Days
INC00214,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Networking,Critical,24 Hours
INC00215,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Networking,Critical,24 Hours
INC00216,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Pending,Storage,High,4 Hours
INC00217,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Hardware,High,4 Hours
INC00218,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Storage,Medium,1 Week
INC00219,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Hardware,High,3 Days
INC00220,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Escalated,Software,Medium,24 Hours
INC00221,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Software,Medium,1 Week
INC00222,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Escalated,Hardware,Critical,1 Week
INC00223,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Networking,High,4 Hours
INC00224,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Software,Low,4 Hours
INC00225,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Networking,Critical,3 Days
INC00226,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Hardware,Critical,3 Days
INC00227,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Hardware,High,1 Week
INC00228,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Escalated,Networking,Low,4 Hours
INC00229,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Pending,Hardware,Critical,24 Hours
INC00230,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Hardware,Critical,24 Hours
INC00231,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Storage,Low,24 Hours
INC00232,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Hardware,Low,24 Hours
INC00233,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Storage,High,3 Days
INC00234,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Closed,Hardware,Critical,3 Days
INC00235,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Networking,Critical,24 Hours
INC00236,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Closed,Software,Critical,1 Week
INC00237,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Closed,Software,High,3 Days
INC00238,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Resolved,Software,High,4 Hours
INC00239,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Software,Medium,1 Week
INC00240,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Software,Medium,24 Hours
INC00241,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Networking,Critical,3 Days
INC00242,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,High,3 Days
INC00243,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,Medium,3 Days
INC00244,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Resolved,Hardware,High,1 Week
INC00245,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Software,Critical,1 Week
INC00246,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Resolved,Storage,Medium,3 Days
INC00247,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Hardware,Low,1 Week
INC00248,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Resolved,Networking,High,4 Hours
INC00249,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Pending,Software,High,1 Week
INC00250,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,Medium,3 Days
INC00251,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Escalated,Storage,High,3 Days
INC00252,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Hardware,Medium,24 Hours
INC00253,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Escalated,Networking,Critical,4 Hours
INC00254,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Storage,High,1 Week
INC00255,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Storage,High,1 Week
INC00256,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Resolved,Storage,Medium,4 Hours
INC00257,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Closed,Networking,Medium,1 Week
INC00258,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Pending,Storage,Low,3 Days
INC00259,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,Medium,24 Hours
INC00260,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Hardware,Critical,3 Days
INC00261,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Hardware,Medium,4 Hours
INC00262,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Pending,Hardware,Low,1 Week
INC00263,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Networking,Critical,24 Hours
INC00264,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Resolved,Networking,Critical,1 Week
INC00265,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Escalated,Software,Low,3 Days
INC00266,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Pending,Software,High,4 Hours
INC00267,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Resolved,Networking,Critical,24 Hours
INC00268,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Escalated,Hardware,High,4 Hours
