Incident Number,Incident Title,Incident Description,Assigned Team,Resolution,Product Category,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00014,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Software,High,24 Hours,2023-12-13,2023-12-16,3
INC00015,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Software,Medium,3 Days,2023-12-29,2023-12-29,0
INC00016,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Storage,Low,1 Week,2023-12-12,2023-12-23,11
INC00017,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Storage,High,24 Hours,2023-12-30,2024-01-09,10
INC00018,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Networking,High,24 Hours,2023-12-12,2023-12-14,2
INC00019,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Software,High,24 Hours,2023-12-23,2024-01-07,15
INC00020,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,Low,1 Week,2023-12-10,2023-12-20,10
INC00021,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Escalated,Hardware,High,24 Hours,2024-01-07,2024-01-14,7
INC00022,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Storage,Low,1 Week,2024-01-07,2024-01-12,5
INC00023,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Storage,Medium,3 Days,2023-12-25,2023-12-25,0
INC00024,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Storage,Low,1 Week,2023-12-19,2023-12-29,10
INC00025,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Networking,Medium,3 Days,2023-12-14,2023-12-14,0
INC00026,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Storage,High,24 Hours,2023-12-28,2024-01-09,12
INC00027,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Closed,Hardware,High,24 Hours,2023-12-28,2024-01-07,10
INC00028,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Pending,Hardware,Critical,4 Hours,2023-12-17,2023-12-21,4
INC00029,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Storage,Critical,4 Hours,2023-12-16,2023-12-27,11
INC00030,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Resolved,Hardware,Low,1 Week,2023-12-29,2024-01-08,10
INC00031,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,Medium,3 Days,2023-12-30,2024-01-01,2
INC00032,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Software,Medium,3 Days,2024-01-07,2024-01-08,1
INC00033,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Networking,Critical,4 Hours,2023-12-19,2023-12-20,1
INC00034,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Networking,Medium,3 Days,2023-12-27,2023-12-30,3
INC00035,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Closed,Hardware,High,24 Hours,2023-12-12,2023-12-17,5
INC00036,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Hardware,High,24 Hours,2023-12-28,2024-01-11,14
INC00037,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Networking,Critical,4 Hours,2024-01-05,2024-01-11,6
INC00038,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Networking,Critical,4 Hours,2023-12-29,2024-01-03,5
INC00039,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Pending,Hardware,Medium,3 Days,2023-12-17,2023-12-29,12
INC00040,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Software,High,24 Hours,2023-12-17,2023-12-26,9
INC00041,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,Critical,4 Hours,2023-12-27,2024-01-07,11
INC00042,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Storage,Medium,3 Days,2023-12-15,2023-12-15,0
INC00043,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Software,Medium,3 Days,2024-01-03,2024-01-18,15
INC00044,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Software,Medium,3 Days,2023-12-18,2023-12-30,12
INC00045,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Software,Low,1 Week,2024-01-09,2024-01-15,6
INC00046,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,High,24 Hours,2024-01-09,2024-01-18,9
INC00047,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Storage,Medium,3 Days,2023-12-26,2024-01-07,12
INC00048,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Pending,Hardware,Low,1 Week,2024-01-03,2024-01-18,15
INC00049,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Storage,Low,1 Week,2024-01-04,2024-01-11,7
INC00050,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Software,Critical,4 Hours,2023-12-28,2024-01-01,4
INC00051,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Software,Critical,4 Hours,2023-12-10,2023-12-17,7
INC00052,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Networking,Medium,3 Days,2024-01-07,2024-01-13,6
INC00053,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Pending,Hardware,Critical,4 Hours,2023-12-29,2024-01-08,10
INC00054,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Software,Critical,4 Hours,2023-12-29,2024-01-02,4
INC00055,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Escalated,Hardware,Low,1 Week,2023-12-21,2023-12-30,9
INC00056,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Software,Critical,4 Hours,2024-01-05,2024-01-20,15
INC00057,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Resolved,Hardware,Medium,3 Days,2023-12-31,2024-01-14,14
INC00058,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Storage,Low,1 Week,2023-12-22,2024-01-02,11
INC00059,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Hardware,Critical,4 Hours,2023-12-17,2023-12-28,11
INC00060,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Storage,Low,1 Week,2023-12-10,2023-12-22,12
INC00061,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Networking,Critical,4 Hours,2024-01-06,2024-01-07,1
INC00062,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Networking,Low,1 Week,2023-12-11,2023-12-13,2
INC00063,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Software,Medium,3 Days,2023-12-27,2023-12-30,3
INC00064,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Closed,Hardware,Medium,3 Days,2023-12-31,2024-01-04,4
INC00065,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Software,High,24 Hours,2023-12-15,2023-12-24,9
INC00066,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Software,Medium,3 Days,2023-12-24,2024-01-04,11
INC00067,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Software,Medium,3 Days,2023-12-23,2023-12-24,1
INC00068,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Networking,Critical,4 Hours,2024-01-05,2024-01-11,6
INC00069,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Networking,Critical,4 Hours,2023-12-30,2024-01-09,10
INC00070,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Software,High,24 Hours,2023-12-29,2024-01-11,13
INC00071,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Resolved,Hardware,Critical,4 Hours,2023-12-16,2023-12-18,2
INC00072,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Software,Critical,4 Hours,2023-12-20,2023-12-30,10
INC00073,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Storage,Medium,3 Days,2023-12-31,2024-01-13,13
INC00074,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Pending,Hardware,Critical,4 Hours,2023-12-16,2023-12-25,9
INC00075,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Storage,Critical,4 Hours,2023-12-14,2023-12-15,1
INC00076,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Hardware,Critical,4 Hours,2023-12-11,2023-12-11,0
INC00077,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Escalated,Hardware,Low,1 Week,2023-12-19,2023-12-21,2
INC00078,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Escalated,Hardware,Medium,3 Days,2024-01-05,2024-01-12,7
INC00079,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Storage,High,24 Hours,2023-12-21,2023-12-25,4
INC00080,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Storage,Critical,4 Hours,2024-01-04,2024-01-19,15
INC00081,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Hardware,Low,1 Week,2023-12-20,2023-12-28,8
INC00082,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Storage,High,24 Hours,2023-12-29,2024-01-01,3
INC00083,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Closed,Hardware,Medium,3 Days,2023-12-21,2023-12-26,5
INC00084,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Networking,Medium,3 Days,2024-01-05,2024-01-14,9
INC00085,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Hardware,Medium,3 Days,2024-01-07,2024-01-16,9
INC00086,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Software,Critical,4 Hours,2024-01-03,2024-01-10,7
INC00087,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Networking,Low,1 Week,2024-01-04,2024-01-05,1
INC00088,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Storage,High,24 Hours,2023-12-31,2024-01-03,3
INC00089,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,Critical,4 Hours,2024-01-06,2024-01-07,1
INC00090,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Software,Low,1 Week,2024-01-09,2024-01-13,4
INC00091,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Resolved,Hardware,High,24 Hours,2023-12-23,2024-01-06,14
INC00092,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Software,Medium,3 Days,2023-12-14,2023-12-17,3
INC00093,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Storage,High,24 Hours,2023-12-14,2023-12-29,15
INC00094,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Escalated,Hardware,Low,1 Week,2024-01-01,2024-01-07,6
INC00095,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Pending,Hardware,Critical,4 Hours,2023-12-23,2024-01-01,9
INC00096,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Pending,Hardware,Critical,4 Hours,2023-12-17,2024-01-01,15
INC00097,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Escalated,Hardware,Low,1 Week,2023-12-14,2023-12-14,0
INC00098,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Software,High,24 Hours,2023-12-24,2023-12-27,3
INC00099,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Storage,Critical,4 Hours,2023-12-15,2023-12-18,3
INC00100,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,Low,1 Week,2023-12-24,2023-12-24,0
INC00101,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Escalated,Hardware,Critical,4 Hours,2024-01-02,2024-01-08,6
INC00102,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Networking,Low,1 Week,2023-12-30,2024-01-05,6
INC00103,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Storage,Low,1 Week,2023-12-15,2023-12-15,0
INC00104,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Storage,Critical,4 Hours,2023-12-26,2024-01-05,10
INC00105,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Storage,High,24 Hours,2023-12-26,2023-12-26,0
INC00106,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,High,24 Hours,2024-01-01,2024-01-02,1
INC00107,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Networking,Critical,4 Hours,2024-01-04,2024-01-08,4
INC00108,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,Low,1 Week,2023-12-25,2024-01-08,14
INC00109,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Pending,Hardware,Low,1 Week,2024-01-06,2024-01-07,1
INC00110,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Networking,Critical,4 Hours,2023-12-20,2024-01-01,12
INC00111,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Networking,Critical,4 Hours,2024-01-04,2024-01-05,1
INC00112,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Storage,Medium,3 Days,2023-12-27,2024-01-09,13
INC00113,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Software,Critical,4 Hours,2023-12-17,2023-12-27,10
INC00114,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Storage,Critical,4 Hours,2024-01-08,2024-01-13,5
INC00115,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Resolved,Hardware,High,24 Hours,2023-12-15,2023-12-20,5
INC00116,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Software,Medium,3 Days,2023-12-27,2024-01-08,12
INC00117,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,Low,1 Week,2024-01-05,2024-01-10,5
INC00118,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Escalated,Hardware,Medium,3 Days,2023-12-30,2024-01-01,2
INC00119,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Storage,Low,1 Week,2023-12-30,2024-01-06,7
INC00120,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Networking,Medium,3 Days,2023-12-14,2023-12-21,7
INC00121,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Storage,Low,1 Week,2024-01-01,2024-01-09,8
INC00122,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Networking,Low,1 Week,2023-12-24,2024-01-05,12
INC00123,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Storage,Critical,4 Hours,2023-12-14,2023-12-18,4
INC00124,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Storage,High,24 Hours,2023-12-25,2024-01-03,9
INC00125,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,Critical,4 Hours,2023-12-26,2024-01-04,9
INC00126,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Storage,Medium,3 Days,2023-12-17,2023-12-24,7
INC00127,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Software,Low,1 Week,2023-12-26,2023-12-31,5
INC00128,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Storage,Critical,4 Hours,2023-12-12,2023-12-14,2
INC00129,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Pending,Hardware,High,24 Hours,2023-12-28,2024-01-07,10
INC00130,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,High,24 Hours,2023-12-19,2023-12-28,9
INC00131,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Resolved,Hardware,High,24 Hours,2023-12-27,2023-12-27,0
INC00132,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Networking,Medium,3 Days,2024-01-09,2024-01-20,11
INC00133,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Networking,High,24 Hours,2023-12-27,2023-12-28,1
INC00134,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Software,Critical,4 Hours,2023-12-10,2023-12-23,13
INC00135,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Software,High,24 Hours,2023-12-10,2023-12-15,5
INC00136,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Resolved,Hardware,Low,1 Week,2024-01-05,2024-01-05,0
INC00137,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Software,Critical,4 Hours,2023-12-27,2024-01-08,12
INC00138,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Networking,Critical,4 Hours,2023-12-17,2023-12-19,2
INC00139,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Closed,Hardware,Medium,3 Days,2023-12-15,2023-12-29,14
INC00140,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,High,24 Hours,2023-12-11,2023-12-14,3
INC00141,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Software,Low,1 Week,2023-12-26,2023-12-29,3
INC00142,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Pending,Hardware,Critical,4 Hours,2024-01-01,2024-01-03,2
INC00143,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Hardware,Medium,3 Days,2024-01-06,2024-01-15,9
INC00144,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Software,High,24 Hours,2023-12-14,2023-12-14,0
INC00145,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Storage,High,24 Hours,2024-01-08,2024-01-21,13
INC00146,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Storage,Critical,4 Hours,2024-01-09,2024-01-11,2
INC00147,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Software,Medium,3 Days,2023-12-17,2023-12-24,7
INC00148,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Storage,Low,1 Week,2023-12-31,2024-01-15,15
INC00149,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Software,High,24 Hours,2023-12-16,2023-12-26,10
INC00150,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Closed,Hardware,Low,1 Week,2023-12-14,2023-12-17,3
INC00151,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Storage,Medium,3 Days,2023-12-20,2023-12-26,6
INC00152,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Networking,Critical,4 Hours,2023-12-17,2023-12-19,2
INC00153,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Software,Low,1 Week,2023-12-24,2023-12-24,0
INC00154,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Networking,Low,1 Week,2023-12-20,2023-12-31,11
INC00155,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Networking,Critical,4 Hours,2023-12-15,2023-12-30,15
INC00156,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Networking,Medium,3 Days,2024-01-09,2024-01-14,5
INC00157,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Hardware,Critical,4 Hours,2024-01-09,2024-01-19,10
INC00158,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Closed,Hardware,Critical,4 Hours,2024-01-09,2024-01-20,11
INC00159,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Networking,High,24 Hours,2023-12-25,2024-01-06,12
INC00160,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Resolved,Hardware,Critical,4 Hours,2023-12-16,2023-12-25,9
INC00161,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Networking,Critical,4 Hours,2023-12-24,2024-01-03,10
INC00162,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Escalated,Hardware,Medium,3 Days,2023-12-20,2023-12-31,11
INC00163,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,High,24 Hours,2024-01-07,2024-01-11,4
INC00164,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Networking,Low,1 Week,2023-12-30,2024-01-06,7
INC00165,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Networking,Critical,4 Hours,2023-12-24,2023-12-28,4
INC00166,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Software,Medium,3 Days,2023-12-16,2023-12-20,4
INC00167,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,Low,1 Week,2023-12-27,2024-01-01,5
INC00168,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Networking,Medium,3 Days,2024-01-01,2024-01-12,11
INC00169,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,Low,1 Week,2023-12-15,2023-12-26,11
INC00170,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Networking,Critical,4 Hours,2024-01-04,2024-01-07,3
INC00171,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Storage,Low,1 Week,2023-12-12,2023-12-23,11
INC00172,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Storage,Critical,4 Hours,2023-12-23,2024-01-06,14
INC00173,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Resolved,Hardware,Medium,3 Days,2024-01-07,2024-01-13,6
INC00174,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Software,High,24 Hours,2023-12-16,2023-12-30,14
INC00175,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Escalated,Hardware,Medium,3 Days,2023-12-13,2023-12-25,12
INC00176,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,High,24 Hours,2023-12-27,2024-01-06,10
INC00177,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,Critical,4 Hours,2023-12-23,2024-01-07,15
INC00178,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Software,Low,1 Week,2023-12-18,2023-12-20,2
INC00179,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Networking,High,24 Hours,2023-12-24,2023-12-31,7
INC00180,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Networking,Low,1 Week,2024-01-03,2024-01-11,8
INC00181,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Networking,Critical,4 Hours,2024-01-04,2024-01-09,5
INC00182,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Software,Critical,4 Hours,2023-12-18,2023-12-18,0
INC00183,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Networking,Critical,4 Hours,2024-01-08,2024-01-18,10
INC00184,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Software,Low,1 Week,2023-12-24,2024-01-08,15
INC00185,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,Critical,4 Hours,2023-12-29,2024-01-08,10
INC00186,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Networking,Medium,3 Days,2023-12-12,2023-12-15,3
INC00187,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Escalated,Hardware,High,24 Hours,2023-12-24,2024-01-05,12
INC00188,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Resolved,Hardware,Low,1 Week,2024-01-04,2024-01-16,12
INC00189,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Storage,High,24 Hours,2023-12-18,2023-12-30,12
INC00190,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Software,Critical,4 Hours,2024-01-07,2024-01-10,3
INC00191,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Software,Low,1 Week,2023-12-11,2023-12-20,9
INC00192,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Hardware,Critical,4 Hours,2023-12-22,2023-12-24,2
INC00193,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Networking,Medium,3 Days,2024-01-09,2024-01-18,9
INC00194,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Software,High,24 Hours,2023-12-27,2024-01-08,12
INC00195,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Storage,Critical,4 Hours,2023-12-18,2023-12-30,12
INC00196,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Hardware,High,24 Hours,2023-12-14,2023-12-25,11
INC00197,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Hardware,Low,1 Week,2023-12-24,2024-01-08,15
INC00198,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Storage,Low,1 Week,2023-12-11,2023-12-17,6
INC00199,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Closed,Hardware,Medium,3 Days,2023-12-21,2023-12-24,3
INC00200,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Resolved,Hardware,Low,1 Week,2024-01-04,2024-01-07,3
INC00201,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Escalated,Hardware,High,24 Hours,2023-12-11,2023-12-11,0
INC00202,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Resolved,Hardware,Low,1 Week,2023-12-17,2023-12-19,2
INC00203,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,Low,1 Week,2024-01-06,2024-01-18,12
INC00204,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Networking,High,24 Hours,2023-12-28,2023-12-29,1
