Incident Number,Customer Query,IT Support Response,Assigned Team,Resolution,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00017,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Pending,Critical,4 Hours,2023-12-27,2024-01-02,6
INC00018,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Resolved,High,24 Hours,2024-01-09,2024-01-12,3
INC00019,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Resolved,Critical,4 Hours,2023-12-13,2023-12-21,8
INC00020,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Pending,Medium,3 Days,2023-12-26,2023-12-31,5
INC00021,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Resolved,Critical,4 Hours,2024-01-07,2024-01-08,1
INC00022,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team C,Resolved,High,24 Hours,2024-01-09,2024-01-09,0
INC00023,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Pending,Critical,4 Hours,2024-01-02,2024-01-14,12
INC00024,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Pending,Critical,4 Hours,2024-01-06,2024-01-07,1
INC00025,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Escalated,High,24 Hours,2024-01-03,2024-01-17,14
INC00026,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Closed,Medium,3 Days,2024-01-01,2024-01-08,7
INC00027,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Pending,Medium,3 Days,2023-12-28,2024-01-12,15
INC00028,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Closed,High,24 Hours,2023-12-15,2023-12-29,14
INC00029,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team D,Closed,Critical,4 Hours,2023-12-30,2024-01-01,2
INC00030,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Resolved,Critical,4 Hours,2023-12-25,2023-12-28,3
INC00031,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Pending,Medium,3 Days,2023-12-14,2023-12-22,8
INC00032,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Resolved,Medium,3 Days,2023-12-18,2023-12-22,4
INC00033,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team C,Pending,Low,1 Week,2023-12-26,2023-12-26,0
INC00034,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Closed,Critical,4 Hours,2023-12-30,2024-01-11,12
INC00035,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Pending,Medium,3 Days,2024-01-05,2024-01-10,5
INC00036,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team C,Closed,Critical,4 Hours,2024-01-01,2024-01-01,0
INC00037,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team C,Closed,Low,1 Week,2024-01-03,2024-01-10,7
INC00038,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Pending,High,24 Hours,2023-12-22,2023-12-29,7
INC00039,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Pending,High,24 Hours,2024-01-02,2024-01-12,10
INC00040,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Pending,High,24 Hours,2023-12-28,2024-01-03,6
INC00041,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Resolved,Medium,3 Days,2024-01-04,2024-01-11,7
INC00042,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Resolved,Critical,4 Hours,2023-12-18,2023-12-22,4
INC00043,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Closed,Low,1 Week,2023-12-19,2023-12-19,0
INC00044,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Pending,High,24 Hours,2023-12-20,2023-12-24,4
INC00045,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team D,Resolved,Low,1 Week,2024-01-05,2024-01-19,14
INC00046,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team C,Resolved,Critical,4 Hours,2023-12-15,2023-12-26,11
INC00047,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Resolved,Low,1 Week,2024-01-03,2024-01-12,9
INC00048,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Closed,Critical,4 Hours,2023-12-24,2024-01-05,12
INC00049,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team D,Closed,Medium,3 Days,2024-01-09,2024-01-16,7
INC00050,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Escalated,Low,1 Week,2023-12-20,2023-12-31,11
INC00051,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team D,Escalated,High,24 Hours,2024-01-07,2024-01-08,1
INC00052,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Escalated,Low,1 Week,2023-12-20,2023-12-25,5
INC00053,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Escalated,Medium,3 Days,2024-01-09,2024-01-12,3
INC00054,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team C,Closed,Medium,3 Days,2023-12-24,2023-12-24,0
INC00055,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Escalated,Low,1 Week,2024-01-09,2024-01-18,9
INC00056,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Resolved,Critical,4 Hours,2023-12-21,2024-01-03,13
INC00057,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Closed,Medium,3 Days,2023-12-12,2023-12-18,6
INC00058,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Escalated,Medium,3 Days,2023-12-26,2023-12-31,5
INC00059,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Escalated,High,24 Hours,2024-01-03,2024-01-07,4
INC00060,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Pending,Critical,4 Hours,2023-12-24,2024-01-02,9
INC00061,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team D,Pending,Critical,4 Hours,2023-12-25,2024-01-05,11
INC00062,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Resolved,Critical,4 Hours,2023-12-27,2023-12-31,4
INC00063,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team D,Resolved,Critical,4 Hours,2024-01-04,2024-01-10,6
INC00064,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team D,Pending,High,24 Hours,2024-01-03,2024-01-17,14
INC00065,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Escalated,Low,1 Week,2024-01-06,2024-01-19,13
INC00066,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team C,Escalated,High,24 Hours,2023-12-25,2024-01-03,9
INC00067,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Closed,Critical,4 Hours,2023-12-14,2023-12-23,9
INC00068,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Resolved,Critical,4 Hours,2023-12-31,2024-01-07,7
INC00069,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Closed,Medium,3 Days,2024-01-07,2024-01-08,1
INC00070,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Closed,Medium,3 Days,2023-12-20,2024-01-01,12
INC00071,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Escalated,High,24 Hours,2024-01-01,2024-01-14,13
INC00072,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Closed,High,24 Hours,2024-01-04,2024-01-17,13
INC00073,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Pending,Critical,4 Hours,2023-12-29,2024-01-04,6
INC00074,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Pending,Low,1 Week,2023-12-10,2023-12-20,10
INC00075,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team B,Escalated,Critical,4 Hours,2023-12-23,2024-01-04,12
INC00076,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Pending,Critical,4 Hours,2024-01-01,2024-01-16,15
INC00077,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Resolved,Critical,4 Hours,2024-01-08,2024-01-19,11
INC00078,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team D,Resolved,Critical,4 Hours,2023-12-30,2024-01-07,8
INC00079,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,Critical,4 Hours,2024-01-08,2024-01-09,1
INC00080,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team C,Closed,Medium,3 Days,2024-01-05,2024-01-19,14
INC00081,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team C,Escalated,Critical,4 Hours,2023-12-14,2023-12-29,15
INC00082,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Pending,Critical,4 Hours,2024-01-06,2024-01-11,5
INC00083,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Resolved,Medium,3 Days,2024-01-05,2024-01-18,13
INC00084,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Pending,High,24 Hours,2024-01-07,2024-01-12,5
INC00085,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team C,Pending,High,24 Hours,2023-12-11,2023-12-13,2
INC00086,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Resolved,Critical,4 Hours,2023-12-23,2023-12-27,4
INC00087,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team C,Closed,Critical,4 Hours,2023-12-29,2024-01-04,6
INC00088,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team D,Closed,High,24 Hours,2023-12-18,2023-12-19,1
INC00089,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Resolved,Medium,3 Days,2023-12-29,2024-01-01,3
INC00090,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Escalated,High,24 Hours,2023-12-22,2023-12-29,7
INC00091,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Closed,Low,1 Week,2024-01-02,2024-01-04,2
INC00092,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team C,Resolved,Critical,4 Hours,2023-12-11,2023-12-15,4
INC00093,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team D,Pending,Low,1 Week,2023-12-20,2023-12-22,2
INC00094,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Closed,High,24 Hours,2023-12-15,2023-12-15,0
INC00095,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Pending,Low,1 Week,2023-12-24,2024-01-07,14
INC00096,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Resolved,Critical,4 Hours,2024-01-09,2024-01-14,5
INC00097,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Closed,Medium,3 Days,2024-01-07,2024-01-10,3
INC00098,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team D,Resolved,Medium,3 Days,2023-12-10,2023-12-12,2
INC00099,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team C,Pending,Low,1 Week,2023-12-19,2023-12-24,5
INC00100,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team D,Resolved,Medium,3 Days,2023-12-29,2024-01-04,6
INC00101,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Pending,Critical,4 Hours,2024-01-05,2024-01-18,13
INC00102,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Resolved,High,24 Hours,2023-12-14,2023-12-19,5
INC00103,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Closed,High,24 Hours,2024-01-05,2024-01-15,10
INC00104,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Pending,Medium,3 Days,2023-12-16,2023-12-17,1
INC00105,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Resolved,Low,1 Week,2023-12-17,2023-12-28,11
INC00106,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Resolved,Low,1 Week,2024-01-05,2024-01-19,14
INC00107,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Pending,High,24 Hours,2023-12-30,2024-01-07,8
INC00108,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Closed,Low,1 Week,2023-12-22,2024-01-01,10
INC00109,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Escalated,High,24 Hours,2023-12-19,2024-01-03,15
INC00110,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Escalated,Critical,4 Hours,2024-01-05,2024-01-09,4
INC00111,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Escalated,High,24 Hours,2023-12-25,2024-01-03,9
INC00112,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Escalated,Critical,4 Hours,2023-12-11,2023-12-17,6
INC00113,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,Critical,4 Hours,2023-12-29,2024-01-13,15
INC00114,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Escalated,Low,1 Week,2023-12-24,2023-12-31,7
INC00115,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Resolved,Low,1 Week,2023-12-29,2024-01-03,5
INC00116,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Pending,Low,1 Week,2023-12-21,2023-12-23,2
INC00117,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Closed,Critical,4 Hours,2024-01-06,2024-01-18,12
INC00118,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Escalated,Medium,3 Days,2023-12-24,2024-01-01,8
INC00119,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Escalated,Low,1 Week,2024-01-02,2024-01-02,0
INC00120,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Closed,High,24 Hours,2023-12-24,2024-01-05,12
INC00121,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Resolved,Low,1 Week,2024-01-01,2024-01-13,12
INC00122,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Closed,High,24 Hours,2023-12-16,2023-12-27,11
INC00123,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Closed,High,24 Hours,2023-12-26,2023-12-30,4
INC00124,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Closed,Low,1 Week,2023-12-29,2024-01-08,10
INC00125,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Pending,Medium,3 Days,2024-01-05,2024-01-09,4
INC00126,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,Medium,3 Days,2023-12-16,2023-12-16,0
INC00127,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Resolved,Critical,4 Hours,2024-01-05,2024-01-14,9
INC00128,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team C,Escalated,Critical,4 Hours,2024-01-07,2024-01-17,10
INC00129,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team C,Pending,High,24 Hours,2024-01-01,2024-01-07,6
INC00130,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Closed,High,24 Hours,2024-01-02,2024-01-14,12
INC00131,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Resolved,High,24 Hours,2023-12-17,2023-12-22,5
INC00132,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Pending,Low,1 Week,2023-12-17,2023-12-30,13
INC00133,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Resolved,Critical,4 Hours,2023-12-12,2023-12-17,5
INC00134,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team D,Pending,Medium,3 Days,2023-12-11,2023-12-17,6
INC00135,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Closed,Critical,4 Hours,2023-12-12,2023-12-26,14
INC00136,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Closed,Critical,4 Hours,2023-12-15,2023-12-17,2
INC00137,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team B,Resolved,High,24 Hours,2023-12-29,2024-01-02,4
INC00138,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Pending,Medium,3 Days,2024-01-06,2024-01-13,7
INC00139,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Resolved,Low,1 Week,2023-12-27,2024-01-09,13
INC00140,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Pending,Critical,4 Hours,2023-12-31,2024-01-09,9
INC00141,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Escalated,Medium,3 Days,2023-12-23,2024-01-05,13
INC00142,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Closed,Critical,4 Hours,2023-12-23,2023-12-24,1
INC00143,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Escalated,High,24 Hours,2023-12-19,2023-12-30,11
INC00144,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Escalated,High,24 Hours,2023-12-18,2023-12-26,8
INC00145,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Pending,High,24 Hours,2023-12-31,2024-01-02,2
INC00146,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Resolved,High,24 Hours,2023-12-16,2023-12-25,9
INC00147,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Closed,Critical,4 Hours,2024-01-06,2024-01-16,10
INC00148,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team C,Resolved,Low,1 Week,2023-12-18,2023-12-29,11
INC00149,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team B,Pending,Critical,4 Hours,2023-12-16,2023-12-23,7
INC00150,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Closed,High,24 Hours,2023-12-17,2023-12-17,0
INC00151,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Closed,Low,1 Week,2023-12-17,2023-12-30,13
INC00152,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Escalated,Medium,3 Days,2024-01-04,2024-01-18,14
INC00153,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Escalated,Medium,3 Days,2024-01-07,2024-01-12,5
INC00154,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team D,Closed,Critical,4 Hours,2024-01-07,2024-01-20,13
INC00155,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Closed,Low,1 Week,2024-01-01,2024-01-05,4
INC00156,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Pending,Critical,4 Hours,2024-01-04,2024-01-17,13
INC00157,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Escalated,Critical,4 Hours,2023-12-18,2023-12-27,9
INC00158,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Resolved,Medium,3 Days,2023-12-16,2023-12-17,1
INC00159,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,High,24 Hours,2023-12-24,2024-01-05,12
INC00160,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Escalated,Low,1 Week,2023-12-26,2024-01-06,11
INC00161,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Escalated,Critical,4 Hours,2024-01-05,2024-01-14,9
INC00162,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team D,Escalated,Medium,3 Days,2024-01-09,2024-01-17,8
INC00163,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Escalated,Low,1 Week,2023-12-28,2024-01-06,9
INC00164,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Pending,High,24 Hours,2023-12-15,2023-12-23,8
INC00165,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Pending,Low,1 Week,2023-12-17,2023-12-18,1
INC00166,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Pending,Medium,3 Days,2023-12-14,2023-12-26,12
INC00167,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Pending,Critical,4 Hours,2024-01-09,2024-01-23,14
INC00168,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team C,Resolved,High,24 Hours,2023-12-20,2023-12-31,11
INC00169,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Pending,High,24 Hours,2023-12-28,2024-01-10,13
INC00170,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Closed,Critical,4 Hours,2023-12-30,2024-01-11,12
INC00171,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Closed,Medium,3 Days,2024-01-06,2024-01-12,6
INC00172,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Resolved,Critical,4 Hours,2024-01-06,2024-01-13,7
INC00173,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Pending,Medium,3 Days,2023-12-30,2024-01-01,2
INC00174,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Closed,High,24 Hours,2023-12-18,2024-01-01,14
INC00175,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Pending,Critical,4 Hours,2023-12-21,2023-12-26,5
INC00176,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Escalated,Critical,4 Hours,2024-01-06,2024-01-09,3
INC00177,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Closed,Low,1 Week,2024-01-03,2024-01-04,1
INC00178,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team D,Escalated,Low,1 Week,2024-01-05,2024-01-12,7
INC00179,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Pending,Low,1 Week,2024-01-05,2024-01-17,12
INC00180,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Closed,Critical,4 Hours,2024-01-07,2024-01-15,8
INC00181,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team B,Resolved,Low,1 Week,2023-12-10,2023-12-23,13
INC00182,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Escalated,Low,1 Week,2023-12-15,2023-12-25,10
INC00183,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Resolved,Critical,4 Hours,2023-12-31,2024-01-07,7
INC00184,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Resolved,High,24 Hours,2023-12-12,2023-12-15,3
INC00185,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team C,Pending,High,24 Hours,2024-01-09,2024-01-16,7
INC00186,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Resolved,Medium,3 Days,2024-01-05,2024-01-16,11
INC00187,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Resolved,Medium,3 Days,2024-01-09,2024-01-12,3
INC00188,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Closed,Low,1 Week,2023-12-19,2023-12-20,1
INC00189,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Pending,Low,1 Week,2023-12-11,2023-12-26,15
INC00190,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,Critical,4 Hours,2024-01-07,2024-01-11,4
INC00191,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Pending,Medium,3 Days,2023-12-28,2023-12-30,2
INC00192,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Closed,High,24 Hours,2024-01-04,2024-01-04,0
INC00193,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Escalated,High,24 Hours,2023-12-18,2023-12-30,12
INC00194,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Escalated,Medium,3 Days,2023-12-22,2023-12-23,1
INC00195,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Pending,High,24 Hours,2023-12-24,2024-01-01,8
INC00196,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Pending,High,24 Hours,2023-12-11,2023-12-16,5
INC00197,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team C,Closed,Medium,3 Days,2024-01-02,2024-01-15,13
