Incident Number,Customer Query,IT Support Response,Assigned Team,Resolution,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00019,Email client crashes on startup,Please update your email client to the latest version.,Team C,Escalated,High,24 Hours,2023-12-22,2023-12-25,3
INC00020,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team D,Reopened,Medium,3 Days,2023-12-06,2023-12-10,4
INC00021,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team E,Pending,Medium,3 Days,2024-01-04,2024-01-11,7
INC00022,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team A,Escalated,High,24 Hours,2024-01-06,2024-01-08,2
INC00023,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team F,Resolved,High,24 Hours,2023-12-23,2023-12-26,3
INC00024,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team F,Pending,High,24 Hours,2023-12-26,2023-12-28,2
INC00025,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team A,Closed,Critical,4 Hours,2023-11-12,2023-11-15,3
INC00026,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team E,Closed,High,24 Hours,2023-12-04,2023-12-05,1
INC00027,Email client crashes on startup,Please update your email client to the latest version.,Team F,Pending,High,24 Hours,2023-12-16,2023-12-17,1
INC00028,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team D,Closed,High,24 Hours,2024-01-05,2024-01-08,3
INC00029,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team B,Pending,Medium,3 Days,2023-12-18,2023-12-23,5
INC00030,Cannot connect to database from application,Check if the database service is running and accessible.,Team E,Pending,Critical,4 Hours,2023-11-26,2023-11-29,3
INC00031,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team B,Closed,High,24 Hours,2023-12-01,2023-12-04,3
INC00032,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team D,Closed,High,24 Hours,2023-11-16,2023-11-18,2
INC00033,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team B,Reopened,Medium,3 Days,2023-12-12,2023-12-19,7
INC00034,Cannot connect to database from application,Check if the database service is running and accessible.,Team B,Escalated,Critical,4 Hours,2023-12-30,2023-12-31,1
INC00035,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team E,Resolved,Medium,3 Days,2023-12-19,2023-12-26,7
INC00036,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team C,Resolved,High,24 Hours,2023-12-04,2023-12-07,3
INC00037,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team F,Pending,Low,1 Week,2023-12-24,2023-12-31,7
INC00038,Email client crashes on startup,Please update your email client to the latest version.,Team A,Escalated,High,24 Hours,2023-12-19,2023-12-20,1
INC00039,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team E,Pending,Medium,3 Days,2023-11-24,2023-12-01,7
INC00040,Cannot connect to database from application,Check if the database service is running and accessible.,Team F,Reopened,Critical,4 Hours,2024-01-04,2024-01-07,3
INC00041,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team D,Resolved,Medium,3 Days,2024-01-06,2024-01-13,7
INC00042,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team D,Resolved,Medium,3 Days,2023-12-14,2023-12-18,4
INC00043,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team E,Reopened,Medium,3 Days,2023-11-22,2023-11-25,3
INC00044,Email client crashes on startup,Please update your email client to the latest version.,Team D,Closed,High,24 Hours,2023-12-02,2023-12-05,3
INC00045,Email client crashes on startup,Please update your email client to the latest version.,Team C,Pending,High,24 Hours,2023-12-08,2023-12-11,3
INC00046,Email client crashes on startup,Please update your email client to the latest version.,Team D,Resolved,High,24 Hours,2023-12-05,2023-12-07,2
INC00047,Cannot connect to database from application,Check if the database service is running and accessible.,Team F,Closed,Critical,4 Hours,2023-12-15,2023-12-16,1
INC00048,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team E,Reopened,High,24 Hours,2024-01-04,2024-01-07,3
INC00049,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team D,Pending,High,24 Hours,2024-01-07,2024-01-08,1
INC00050,Email client crashes on startup,Please update your email client to the latest version.,Team C,Closed,High,24 Hours,2023-11-26,2023-11-27,1
INC00051,Email client crashes on startup,Please update your email client to the latest version.,Team F,Escalated,High,24 Hours,2023-11-17,2023-11-18,1
INC00052,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team C,Escalated,High,24 Hours,2023-12-31,2024-01-01,1
INC00053,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team B,Closed,Low,1 Week,2024-01-03,2024-01-10,7
INC00054,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team D,Pending,High,24 Hours,2023-12-04,2023-12-07,3
INC00055,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team F,Reopened,High,24 Hours,2023-11-12,2023-11-14,2
INC00056,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team A,Escalated,High,24 Hours,2023-12-22,2023-12-25,3
INC00057,Email client crashes on startup,Please update your email client to the latest version.,Team D,Escalated,High,24 Hours,2023-12-24,2023-12-27,3
INC00058,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team C,Escalated,Medium,3 Days,2024-01-01,2024-01-05,4
INC00059,Email client crashes on startup,Please update your email client to the latest version.,Team E,Resolved,High,24 Hours,2023-11-10,2023-11-11,1
INC00060,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team B,Closed,High,24 Hours,2023-11-19,2023-11-22,3
INC00061,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team F,Resolved,High,24 Hours,2023-11-26,2023-11-27,1
INC00062,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team E,Closed,High,24 Hours,2024-01-06,2024-01-09,3
INC00063,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team C,Closed,Critical,4 Hours,2023-11-10,2023-11-11,1
INC00064,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team F,Resolved,Medium,3 Days,2023-11-25,2023-12-02,7
INC00065,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team F,Escalated,High,24 Hours,2024-01-05,2024-01-08,3
INC00066,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team A,Reopened,Medium,3 Days,2023-12-11,2023-12-15,4
INC00067,Email client crashes on startup,Please update your email client to the latest version.,Team C,Closed,High,24 Hours,2023-12-03,2023-12-06,3
INC00068,Cannot connect to database from application,Check if the database service is running and accessible.,Team D,Resolved,Critical,4 Hours,2023-12-13,2023-12-14,1
INC00069,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team C,Reopened,Critical,4 Hours,2023-12-27,2023-12-29,2
INC00070,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team C,Escalated,Medium,3 Days,2023-12-29,2024-01-01,3
INC00071,Cannot connect to database from application,Check if the database service is running and accessible.,Team B,Pending,Critical,4 Hours,2023-12-26,2023-12-27,1
INC00072,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team B,Resolved,High,24 Hours,2023-12-21,2023-12-24,3
INC00073,Email client crashes on startup,Please update your email client to the latest version.,Team A,Pending,High,24 Hours,2023-12-12,2023-12-14,2
INC00074,Email client crashes on startup,Please update your email client to the latest version.,Team A,Resolved,High,24 Hours,2023-11-23,2023-11-24,1
INC00075,Cannot connect to database from application,Check if the database service is running and accessible.,Team E,Closed,Critical,4 Hours,2023-11-18,2023-11-19,1
INC00076,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team F,Closed,High,24 Hours,2023-12-09,2023-12-12,3
INC00077,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team F,Pending,Low,1 Week,2023-11-29,2023-12-06,7
INC00078,Email client crashes on startup,Please update your email client to the latest version.,Team F,Escalated,High,24 Hours,2023-11-25,2023-11-27,2
INC00079,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team D,Reopened,High,24 Hours,2023-12-24,2023-12-26,2
INC00080,Cannot connect to database from application,Check if the database service is running and accessible.,Team F,Resolved,Critical,4 Hours,2023-12-05,2023-12-06,1
INC00081,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team E,Resolved,Medium,3 Days,2023-12-20,2023-12-25,5
INC00082,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team D,Pending,Medium,3 Days,2024-01-04,2024-01-09,5
INC00083,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team E,Resolved,High,24 Hours,2024-01-04,2024-01-05,1
INC00084,Email client crashes on startup,Please update your email client to the latest version.,Team C,Resolved,High,24 Hours,2023-12-14,2023-12-17,3
INC00085,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team D,Closed,High,24 Hours,2023-12-16,2023-12-18,2
INC00086,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team F,Escalated,Low,1 Week,2023-11-30,2023-12-01,1
INC00087,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team A,Closed,High,24 Hours,2023-12-15,2023-12-17,2
INC00088,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team B,Closed,Medium,3 Days,2023-12-19,2023-12-23,4
INC00089,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team B,Pending,Critical,4 Hours,2023-11-22,2023-11-24,2
INC00090,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team A,Pending,Critical,4 Hours,2023-12-08,2023-12-09,1
INC00091,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team D,Resolved,Medium,3 Days,2023-11-22,2023-11-25,3
INC00092,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team F,Pending,Critical,4 Hours,2023-12-13,2023-12-16,3
INC00093,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team A,Pending,Medium,3 Days,2024-01-04,2024-01-11,7
INC00094,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team E,Closed,Medium,3 Days,2023-12-07,2023-12-10,3
INC00095,Cannot connect to database from application,Check if the database service is running and accessible.,Team F,Closed,Critical,4 Hours,2024-01-05,2024-01-07,2
INC00096,Cannot connect to database from application,Check if the database service is running and accessible.,Team D,Resolved,Critical,4 Hours,2023-11-29,2023-12-01,2
INC00097,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team C,Pending,Medium,3 Days,2023-12-28,2024-01-02,5
INC00098,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team B,Pending,Medium,3 Days,2024-01-07,2024-01-11,4
INC00099,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team C,Closed,Medium,3 Days,2023-12-26,2023-12-30,4
INC00100,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team E,Escalated,Low,1 Week,2023-11-24,2023-11-26,2
INC00101,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team D,Resolved,Low,1 Week,2023-12-13,2023-12-20,7
INC00102,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team A,Escalated,High,24 Hours,2024-01-05,2024-01-06,1
INC00103,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team A,Escalated,Low,1 Week,2023-12-29,2023-12-31,2
INC00104,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team E,Pending,Medium,3 Days,2023-11-13,2023-11-18,5
INC00105,Cannot connect to database from application,Check if the database service is running and accessible.,Team E,Escalated,Critical,4 Hours,2023-12-23,2023-12-24,1
INC00106,Cannot connect to database from application,Check if the database service is running and accessible.,Team A,Resolved,Critical,4 Hours,2023-12-29,2024-01-01,3
INC00107,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team A,Pending,High,24 Hours,2024-01-08,2024-01-10,2
INC00108,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team D,Escalated,Critical,4 Hours,2023-12-04,2023-12-05,1
INC00109,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team D,Resolved,Medium,3 Days,2023-11-17,2023-11-24,7
INC00110,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team A,Reopened,High,24 Hours,2023-11-21,2023-11-23,2
INC00111,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team E,Pending,Medium,3 Days,2024-01-05,2024-01-12,7
INC00112,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team E,Resolved,Medium,3 Days,2023-12-26,2024-01-02,7
INC00113,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team C,Resolved,Low,1 Week,2023-11-17,2023-11-19,2
INC00114,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team E,Resolved,Medium,3 Days,2023-12-24,2023-12-28,4
INC00115,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team B,Pending,High,24 Hours,2023-11-27,2023-11-28,1
INC00116,Cannot connect to database from application,Check if the database service is running and accessible.,Team F,Escalated,Critical,4 Hours,2023-12-25,2023-12-27,2
INC00117,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team F,Resolved,Medium,3 Days,2023-11-30,2023-12-03,3
INC00118,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team C,Pending,Medium,3 Days,2023-12-17,2023-12-21,4
INC00119,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team B,Reopened,Medium,3 Days,2023-11-29,2023-12-06,7
INC00120,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team E,Reopened,Low,1 Week,2023-11-21,2023-12-05,14
INC00121,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team C,Escalated,Medium,3 Days,2023-12-18,2023-12-22,4
INC00122,Cannot connect to database from application,Check if the database service is running and accessible.,Team A,Escalated,Critical,4 Hours,2024-01-04,2024-01-06,2
INC00123,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team B,Reopened,Critical,4 Hours,2023-11-21,2023-11-24,3
INC00124,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team B,Pending,Medium,3 Days,2023-12-23,2023-12-30,7
INC00125,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team C,Resolved,Medium,3 Days,2024-01-02,2024-01-06,4
INC00126,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team D,Closed,Critical,4 Hours,2023-11-18,2023-11-21,3
INC00127,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team C,Resolved,Medium,3 Days,2023-12-07,2023-12-10,3
INC00128,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team F,Reopened,High,24 Hours,2023-11-29,2023-11-30,1
INC00129,Cannot connect to database from application,Check if the database service is running and accessible.,Team A,Reopened,Critical,4 Hours,2023-12-23,2023-12-25,2
INC00130,Email client crashes on startup,Please update your email client to the latest version.,Team D,Reopened,High,24 Hours,2023-12-12,2023-12-15,3
INC00131,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team A,Closed,Medium,3 Days,2023-12-21,2023-12-25,4
INC00132,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team D,Reopened,Medium,3 Days,2024-01-05,2024-01-12,7
INC00133,Cannot connect to database from application,Check if the database service is running and accessible.,Team F,Reopened,Critical,4 Hours,2023-11-17,2023-11-19,2
INC00134,Email client crashes on startup,Please update your email client to the latest version.,Team C,Escalated,High,24 Hours,2024-01-04,2024-01-05,1
INC00135,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team D,Resolved,High,24 Hours,2023-12-31,2024-01-01,1
INC00136,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team A,Reopened,High,24 Hours,2023-12-27,2023-12-28,1
INC00137,Email client crashes on startup,Please update your email client to the latest version.,Team E,Escalated,High,24 Hours,2023-12-30,2024-01-02,3
INC00138,Cannot connect to database from application,Check if the database service is running and accessible.,Team E,Reopened,Critical,4 Hours,2023-11-12,2023-11-14,2
INC00139,Email client crashes on startup,Please update your email client to the latest version.,Team F,Pending,High,24 Hours,2024-01-02,2024-01-05,3
INC00140,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team E,Escalated,Medium,3 Days,2024-01-08,2024-01-13,5
INC00141,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team A,Escalated,Critical,4 Hours,2023-12-24,2023-12-27,3
INC00142,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team F,Pending,High,24 Hours,2023-12-05,2023-12-07,2
INC00143,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team B,Pending,Medium,3 Days,2023-12-03,2023-12-06,3
INC00144,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team A,Escalated,Low,1 Week,2023-11-11,2023-11-13,2
INC00145,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team B,Escalated,Critical,4 Hours,2023-12-16,2023-12-17,1
INC00146,Cannot connect to database from application,Check if the database service is running and accessible.,Team B,Closed,Critical,4 Hours,2023-12-22,2023-12-25,3
INC00147,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team F,Reopened,Medium,3 Days,2024-01-07,2024-01-12,5
INC00148,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team B,Closed,Medium,3 Days,2023-12-02,2023-12-07,5
INC00149,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team A,Resolved,Medium,3 Days,2024-01-03,2024-01-10,7
INC00150,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team A,Pending,Medium,3 Days,2023-11-10,2023-11-15,5
INC00151,Cannot connect to database from application,Check if the database service is running and accessible.,Team E,Pending,Critical,4 Hours,2023-11-17,2023-11-18,1
INC00152,Cannot connect to database from application,Check if the database service is running and accessible.,Team D,Reopened,Critical,4 Hours,2023-12-25,2023-12-26,1
INC00153,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team B,Escalated,Medium,3 Days,2023-12-18,2023-12-25,7
INC00154,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team A,Reopened,Medium,3 Days,2023-11-17,2023-11-24,7
INC00155,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team B,Closed,Medium,3 Days,2024-01-03,2024-01-07,4
INC00156,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team D,Closed,Medium,3 Days,2023-11-10,2023-11-15,5
INC00157,Email client crashes on startup,Please update your email client to the latest version.,Team D,Escalated,High,24 Hours,2023-12-02,2023-12-05,3
INC00158,Cannot connect to database from application,Check if the database service is running and accessible.,Team B,Pending,Critical,4 Hours,2023-12-09,2023-12-11,2
INC00159,Cannot connect to database from application,Check if the database service is running and accessible.,Team A,Escalated,Critical,4 Hours,2023-12-27,2023-12-29,2
INC00160,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team D,Escalated,Medium,3 Days,2023-11-16,2023-11-20,4
INC00161,Email client crashes on startup,Please update your email client to the latest version.,Team C,Reopened,High,24 Hours,2023-12-11,2023-12-12,1
INC00162,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team A,Reopened,Medium,3 Days,2023-11-18,2023-11-25,7
INC00163,Email client crashes on startup,Please update your email client to the latest version.,Team A,Reopened,High,24 Hours,2023-11-11,2023-11-14,3
INC00164,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team B,Escalated,Medium,3 Days,2024-01-02,2024-01-05,3
INC00165,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team B,Escalated,Medium,3 Days,2023-11-20,2023-11-23,3
INC00166,Email client crashes on startup,Please update your email client to the latest version.,Team F,Escalated,High,24 Hours,2023-12-04,2023-12-06,2
INC00167,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team B,Pending,High,24 Hours,2023-12-13,2023-12-16,3
INC00168,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team C,Reopened,Medium,3 Days,2023-11-25,2023-11-28,3
INC00169,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team A,Resolved,High,24 Hours,2023-11-11,2023-11-13,2
INC00170,Cannot connect to database from application,Check if the database service is running and accessible.,Team D,Closed,Critical,4 Hours,2023-12-19,2023-12-21,2
INC00171,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team C,Closed,High,24 Hours,2023-11-28,2023-12-01,3
INC00172,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team F,Pending,Critical,4 Hours,2023-12-02,2023-12-04,2
INC00173,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team E,Pending,High,24 Hours,2023-11-20,2023-11-21,1
INC00174,Cannot connect to database from application,Check if the database service is running and accessible.,Team E,Pending,Critical,4 Hours,2023-12-30,2023-12-31,1
INC00175,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team F,Reopened,High,24 Hours,2023-12-10,2023-12-12,2
INC00176,Email client crashes on startup,Please update your email client to the latest version.,Team C,Reopened,High,24 Hours,2023-11-25,2023-11-28,3
INC00177,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team D,Reopened,Low,1 Week,2023-12-05,2023-12-06,1
INC00178,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team E,Pending,High,24 Hours,2023-12-18,2023-12-19,1
INC00179,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team D,Pending,Medium,3 Days,2024-01-03,2024-01-10,7
INC00180,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team C,Escalated,Medium,3 Days,2023-11-29,2023-12-03,4
INC00181,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team A,Escalated,Low,1 Week,2023-12-07,2023-12-14,7
INC00182,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team F,Pending,Medium,3 Days,2023-11-19,2023-11-23,4
INC00183,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team A,Resolved,Low,1 Week,2023-12-03,2023-12-17,14
INC00184,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team B,Closed,Low,1 Week,2024-01-05,2024-01-06,1
INC00185,Email client crashes on startup,Please update your email client to the latest version.,Team C,Closed,High,24 Hours,2023-11-24,2023-11-27,3
INC00186,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team A,Reopened,Critical,4 Hours,2024-01-08,2024-01-10,2
INC00187,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team A,Resolved,High,24 Hours,2023-12-13,2023-12-16,3
INC00188,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team C,Pending,Critical,4 Hours,2024-01-08,2024-01-10,2
INC00189,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team C,Escalated,High,24 Hours,2024-01-08,2024-01-10,2
INC00190,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team B,Resolved,Medium,3 Days,2023-12-01,2023-12-05,4
INC00191,Email client crashes on startup,Please update your email client to the latest version.,Team D,Closed,High,24 Hours,2023-12-14,2023-12-16,2
INC00192,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team A,Pending,Medium,3 Days,2023-11-29,2023-12-04,5
INC00193,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team E,Pending,Low,1 Week,2023-12-12,2023-12-14,2
INC00194,Cannot connect to database from application,Check if the database service is running and accessible.,Team D,Reopened,Critical,4 Hours,2023-11-23,2023-11-26,3
INC00195,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team C,Escalated,High,24 Hours,2023-12-23,2023-12-24,1
INC00196,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team C,Closed,Medium,3 Days,2024-01-07,2024-01-10,3
INC00197,Cannot connect to database from application,Check if the database service is running and accessible.,Team F,Escalated,Critical,4 Hours,2023-11-12,2023-11-14,2
INC00198,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team E,Closed,Critical,4 Hours,2023-11-24,2023-11-27,3
INC00199,Cannot connect to database from application,Check if the database service is running and accessible.,Team A,Closed,Critical,4 Hours,2024-01-02,2024-01-03,1
INC00200,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team A,Reopened,Medium,3 Days,2023-12-15,2023-12-18,3
INC00201,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team B,Pending,Medium,3 Days,2023-11-25,2023-11-29,4
INC00202,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team C,Pending,Critical,4 Hours,2023-11-26,2023-11-27,1
INC00203,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team F,Pending,Medium,3 Days,2024-01-06,2024-01-13,7
INC00204,Cannot connect to database from application,Check if the database service is running and accessible.,Team B,Escalated,Critical,4 Hours,2023-11-10,2023-11-11,1
INC00205,Email client crashes on startup,Please update your email client to the latest version.,Team E,Escalated,High,24 Hours,2023-11-21,2023-11-22,1
INC00206,Cannot connect to database from application,Check if the database service is running and accessible.,Team D,Escalated,Critical,4 Hours,2023-12-28,2023-12-30,2
